file_basename,file_fingerprint,file_path,season,calendar_year,category_id,tournament_id,event_name,gender,format,enabled,notes,legacy_event_names,source_sheet
bm2005_einz_d_erg_fi.pdf,f9c74a55a5366217566bcebd39a8c9d3aaabad87cc89b97f8b23a98f9e000569,bm2005_einz_d_erg_fi.pdf,04/05,2005,bayerische-einzel-frauen,BM D,Bayerische Meisterschaft Einzel Damen 2005,female,legacy_pdf_erg_2016,true,GAP: inline dual-series layout (no parser yet),,
bm2005_einz_h_erg_fi.pdf,290e2b48ce358ea51d14a6bafa128228230d9c8cd43049e89d7e1a201818f084,bm2005_einz_h_erg_fi.pdf,04/05,2005,bayerische-einzel-herren,BM M,Bayerische Meisterschaft Einzel 2005,male,legacy_pdf_erg_2016,true,GAP: inline dual-series layout (no parser yet),,
bm2005_nb_he_erg.pdf,91a4200b1f51f7d8c1f37b6f9ba8c451084609cd845a11770008ef1f336e1f3d,bm2005_nb_he_erg.pdf,04/05,2005,nordbayerische-herren,NBM M,Nordbayerische Meisterschaft,male,legacy_pdf_erg_2016,true,resolved from input dir,,
bm2005_sb_he_erg.pdf,ea454b6bc510060fc3d46ee4e6b55e4f0a3b7e983d9e25e92b92d2ca6a8c85fc,bm2005_sb_he_erg.pdf,04/05,2005,suedbayerische-herren,SBM M,Südbayerische Meisterschaft,male,legacy_pdf_erg_2016,true,GAP: inline dual-series layout (no parser yet),,
bm2006_sb_da_erg.pdf,37399aa6100ad55fd53d5cc1b1e6fad183b9c404a9d2a8f427cd15368e481041,bm2006_sb_da_erg.pdf,05/06,2006,bayerische-einzel-frauen,BM D,Bayerische Meisterschaft Einzel Damen 2006,female,legacy_pdf_erg_2009,true,resolved from input dir,,
bm2006_einz_erg_he.pdf,acaeb23508bc33b4cf9762377b6771d7619e0fbf27b2fba4e576f20b3b8f742f,bm2006_einz_erg_he.pdf,05/06,2006,bayerische-einzel-herren,BM M,Bayerische Meisterschaft Einzel 2006,male,legacy_pdf_erg_2009,true,resolved from input dir,,
bm2006_dopp_da_erg.pdf,23cc202886829088593a107292db34f00501528447ae8567f17fdec4c53577ac,bm2006_dopp_da_erg.pdf,05/06,2006,bayerisches-doppel-frauen,BM D D,Bayerische Meisterschaft Damen Doppel 2006,female,legacy_pdf_erg_2016,true,scanned from input dir,,
bm2006_dopp_he_erg.pdf,8f5f16ca38384cb0d98ea6a0e45642df30cd1f2aa8593847fa3174da646d1c80,bm2006_dopp_he_erg.pdf,05/06,2006,bayerisches-doppel-herren,BM M D,Bayerische Meisterschaft Männer Doppel 2006,male,legacy_pdf_erg_2016,true,scanned from input dir,,
bm2006_nb_he_erg.pdf,a4220dfb2b0461ab1f72b0233aaed1d3c81fcf94c783ab8131533aa6042e0bdf,bm2006_nb_he_erg.pdf,05/06,2006,nordbayerische-herren,NBM M,Nordbayerische Meisterschaft,male,legacy_pdf_erg_2009,true,resolved from input dir,,
bm2006_sb_he_erg.pdf,fd42948a43c5a2afd2e141a06b8663e602d822c7c43b022ca9bf933f60867f84,bm2006_sb_he_erg.pdf,05/06,2006,suedbayerische-herren,SBM M,Südbayerische Meisterschaft,male,legacy_pdf_erg_2009,true,SBM 2006 spatial Vor/Zw/Fin layout,,
bm2007_einz_erg.xls,b1e9b76d97b842eeacb611d6b925c4fa718eccfc7f79e708cfe5183a0d0f84e5,bm2007_einz_erg.xls,06/07,2007,bayerische-einzel-frauen,BM D,Bayerische Meisterschaft Einzel Damen 2007,female,legacy_bm_einz_xls_dual,true,Single legacy XLS with separate Herren/Damen sheets instead of per-gender PDFs.,,Damen
bm2007_einz_erg.xls,b1e9b76d97b842eeacb611d6b925c4fa718eccfc7f79e708cfe5183a0d0f84e5,bm2007_einz_erg.xls,06/07,2007,bayerische-einzel-herren,BM M,Bayerische Meisterschaft Einzel 2007,male,legacy_bm_einz_xls_dual,true,Single legacy XLS with separate Herren/Damen sheets instead of per-gender PDFs.,,Herren
bm2007_mix_erg.pdf,6ed9ffdfa678b57faf44846ac433731302c5607b27dfd4bb6b2c803b409552f0,bm2007_mix_erg.pdf,06/07,2007,bayerische-mixed,BM X,Bayerische Meisterschaft Mixed 2007,mixed,legacy_pdf_erg_2016,true,scanned from input dir,,
bm2007_dopp_da_erg.pdf,8e4bcafee38d615b64ff00186fe0c5eb96cbfaa8316c4b053e3642029d532fc2,bm2007_dopp_da_erg.pdf,06/07,2007,bayerisches-doppel-frauen,BM D D,Bayerische Meisterschaft Damen Doppel 2007,female,legacy_pdf_erg_2016,true,scanned from input dir,,
bm2007_dopp_he_erg.pdf,ab8a8b7a101cae04400fe0328ba825e1b09419bc7717bf92de20d1c81adad6c4,bm2007_dopp_he_erg.pdf,06/07,2007,bayerisches-doppel-herren,BM M D,Bayerische Meisterschaft Männer Doppel 2007,male,legacy_pdf_erg_2016,true,scanned from input dir,,
bm2007_nb_h_erg.pdf,20de5f4db6526ed9c0baa20f40424d5e0d5c40f0b37131c155c5eb3e8157c117,bm2007_nb_h_erg.pdf,06/07,2007,nordbayerische-herren,NBM M,Nordbayerische Meisterschaft,male,legacy_pdf_erg_edv_grid,true,scanned from input dir,,
bm2007_sb_h_erg.pdf,c5236e9bb5c0b2370a4f581b1e6fbc741ccd2362959e06d93e77d41fcbc5db83,bm2007_sb_h_erg.pdf,06/07,2007,suedbayerische-herren,SBM M,Südbayerische Meisterschaft,male,legacy_pdf_erg_2009,true,dual summary+detail layout; comma-name page seams,,
bm2008_sb_da_erg.pdf,5a2e9c528fffb3138ffbca4c12b20ce96ce5168ea2bf8ba9cdfd895f56630287,bm2008_sb_da_erg.pdf,07/08,2008,bayerische-einzel-frauen,BM D,Bayerische Meisterschaft Einzel Damen 2008,female,legacy_pdf_erg_2016,true,GAP: ranked grid without comma names (no parser yet),,
bm2008_einz_he_erg.pdf,97ae9df651cf3e38d7fe435a4761b10623e37d959a5d6387cb39e9b4fabebd98,bm2008_einz_he_erg.pdf,07/08,2008,bayerische-einzel-herren,BM M,Bayerische Meisterschaft Einzel 2008,male,legacy_pdf_erg_2009,true,comma-name layout,,
bm2008_mix_erg.pdf,4e5c071104e8d47ceaa6aec428be3f9efd5080ff9b35631774353db29d72e562,bm2008_mix_erg.pdf,07/08,2008,bayerische-mixed,BM X,Bayerische Meisterschaft Mixed 2008,mixed,legacy_pdf_erg_2016,true,scanned from input dir,,
