Season;Date;Location;Event Type;Event Name;Round Number;Round Name;Player;Player ID;Club;Game Number;Score;Handicap;Cumulative Score;Stage Rank;Cut Line;Cut Basis;Overall Cumulative Score
25/26;2026-05-09;Rottendorf;tournament;Bayerische Meisterschaft - Frauen Einzel;1;Vorlauf;Alexandra Mareiser;7083;;0;215;0;215;1;;;215
25/26;2026-05-09;Rottendorf;tournament;Bayerische Meisterschaft - Frauen Einzel;1;Vorlauf;Anika Kristof;38045;;0;201;0;201;2;;;201
25/26;2026-05-09;Rottendorf;tournament;Bayerische Meisterschaft - Frauen Einzel;1;Vorlauf;Bianca Leinemann;38876;;0;125;0;125;21;;;125
25/26;2026-05-09;Rottendorf;tournament;Bayerische Meisterschaft - Frauen Einzel;1;Vorlauf;Denise Schwertfeger;38934;;0;134;0;134;19;;;134
25/26;2026-05-09;Rottendorf;tournament;Bayerische Meisterschaft - Frauen Einzel;1;Vorlauf;Else Schuster;7709;;0;131;0;131;20;;;131
25/26;2026-05-09;Rottendorf;tournament;Bayerische Meisterschaft - Frauen Einzel;1;Vorlauf;Helene Schick;38931;;0;153;0;153;14;;;153
25/26;2026-05-09;Rottendorf;tournament;Bayerische Meisterschaft - Frauen Einzel;1;Vorlauf;Ingeborg Schmitt;7974;;0;142;0;142;17;;;142
25/26;2026-05-09;Rottendorf;tournament;Bayerische Meisterschaft - Frauen Einzel;1;Vorlauf;Jana Witthinrich;38355;;0;151;0;151;15;;;151
25/26;2026-05-09;Rottendorf;tournament;Bayerische Meisterschaft - Frauen Einzel;1;Vorlauf;Johanna Groll;25630;;0;155;0;155;13;;;155
25/26;2026-05-09;Rottendorf;tournament;Bayerische Meisterschaft - Frauen Einzel;1;Vorlauf;Julia Völlmerk;16093;;0;199;0;199;4;;;199
25/26;2026-05-09;Rottendorf;tournament;Bayerische Meisterschaft - Frauen Einzel;1;Vorlauf;Katharina Mang;25329;;0;176;0;176;7;;;176
