Season;Date;Location;Event Type;Event Name;Round Number;Round Name;Player;Player ID;Club;Game Number;Score;Handicap;Cumulative Score;Stage Rank;Cut Line
2026;2026-05-01;Dream Bowl Palace Unterfoehring;tournament;Nordbayerische Meisterschaft;1;Vorlauf;Stockmann Uwe;38149;Absolut Sports 2;0;189;0;189;5;182
2026;2026-05-01;Dream Bowl Palace Unterfoehring;tournament;Nordbayerische Meisterschaft;1;Vorlauf;Demuth Werner;38985;Absolut Sports 2;0;193;0;193;2;182
2026;2026-05-01;Dream Bowl Palace Unterfoehring;tournament;Nordbayerische Meisterschaft;1;Vorlauf;Mattes Marc;38902;Absolut Sports 2;0;182;0;182;7;182
2026;2026-05-01;Dream Bowl Palace Unterfoehring;tournament;Nordbayerische Meisterschaft;1;Vorlauf;Jehle Dennis;38954;Absolut Sports 2;0;195;0;195;1;182
2026;2026-05-01;Dream Bowl Palace Unterfoehring;tournament;Nordbayerische Meisterschaft;1;Vorlauf;Striefler Edmund;25063;BC Bamberger  Bowlinghaus 3;0;182;0;182;8;182
2026;2026-05-01;Dream Bowl Palace Unterfoehring;tournament;Nordbayerische Meisterschaft;1;Vorlauf;Sch?fer Bernd;38688;BC Bamberger  Bowlinghaus 3;0;185;0;185;6;182
2026;2026-05-01;Dream Bowl Palace Unterfoehring;tournament;Nordbayerische Meisterschaft;1;Vorlauf;Stegner Ottmar;16535;BC Bamberger  Bowlinghaus 3;0;191;0;191;4;182
2026;2026-05-01;Dream Bowl Palace Unterfoehring;tournament;Nordbayerische Meisterschaft;1;Vorlauf;Karl Georg;16545;BC Bamberger  Bowlinghaus 3;0;171;0;171;10;182
2026;2026-05-01;Dream Bowl Palace Unterfoehring;tournament;Nordbayerische Meisterschaft;1;Vorlauf;Lachmann Thomas;38425;BC Coburg 1;0;191;0;191;3;182
2026;2026-05-01;Dream Bowl Palace Unterfoehring;tournament;Nordbayerische Meisterschaft;1;Vorlauf;Thomas Nico;38134;BC Coburg 1;0;172;0;172;9;182
2026;2026-05-01;Dream Bowl Palace Unterfoehring;tournament;Nordbayerische Meisterschaft;1;Vorlauf;Stockmann Uwe;38149;Absolut Sports 2;1;194;0;383;5;369
2026;2026-05-01;Dream Bowl Palace Unterfoehring;tournament;Nordbayerische Meisterschaft;1;Vorlauf;Demuth Werner;38985;Absolut Sports 2;1;198;0;391;2;369
2026;2026-05-01;Dream Bowl Palace Unterfoehring;tournament;Nordbayerische Meisterschaft;1;Vorlauf;Mattes Marc;38902;Absolut Sports 2;1;187;0;369;7;369
2026;2026-05-01;Dream Bowl Palace Unterfoehring;tournament;Nordbayerische Meisterschaft;1;Vorlauf;Jehle Dennis;38954;Absolut Sports 2;1;200;0;395;1;369
2026;2026-05-01;Dream Bowl Palace Unterfoehring;tournament;Nordbayerische Meisterschaft;1;Vorlauf;Striefler Edmund;25063;BC Bamberger  Bowlinghaus 3;1;187;0;369;8;369
2026;2026-05-01;Dream Bowl Palace Unterfoehring;tournament;Nordbayerische Meisterschaft;1;Vorlauf;Sch?fer Bernd;38688;BC Bamberger  Bowlinghaus 3;1;190;0;375;6;369
2026;2026-05-01;Dream Bowl Palace Unterfoehring;tournament;Nordbayerische Meisterschaft;1;Vorlauf;Stegner Ottmar;16535;BC Bamberger  Bowlinghaus 3;1;196;0;387;4;369
2026;2026-05-01;Dream Bowl Palace Unterfoehring;tournament;Nordbayerische Meisterschaft;1;Vorlauf;Karl Georg;16545;BC Bamberger  Bowlinghaus 3;1;176;0;347;10;369
2026;2026-05-01;Dream Bowl Palace Unterfoehring;tournament;Nordbayerische Meisterschaft;1;Vorlauf;Lachmann Thomas;38425;BC Coburg 1;1;196;0;387;3;369
2026;2026-05-01;Dream Bowl Palace Unterfoehring;tournament;Nordbayerische Meisterschaft;1;Vorlauf;Thomas Nico;38134;BC Coburg 1;1;177;0;349;9;369
2026;2026-05-01;Dream Bowl Palace Unterfoehring;tournament;Nordbayerische Meisterschaft;1;Vorlauf;Stockmann Uwe;38149;Absolut Sports 2;2;190;0;573;5;552
2026;2026-05-01;Dream Bowl Palace Unterfoehring;tournament;Nordbayerische Meisterschaft;1;Vorlauf;Demuth Werner;38985;Absolut Sports 2;2;203;0;594;2;552
2026;2026-05-01;Dream Bowl Palace Unterfoehring;tournament;Nordbayerische Meisterschaft;1;Vorlauf;Mattes Marc;38902;Absolut Sports 2;2;192;0;561;7;552
2026;2026-05-01;Dream Bowl Palace Unterfoehring;tournament;Nordbayerische Meisterschaft;1;Vorlauf;Jehle Dennis;38954;Absolut Sports 2;2;205;0;600;1;552
2026;2026-05-01;Dream Bowl Palace Unterfoehring;tournament;Nordbayerische Meisterschaft;1;Vorlauf;Striefler Edmund;25063;BC Bamberger  Bowlinghaus 3;2;183;0;552;8;552
2026;2026-05-01;Dream Bowl Palace Unterfoehring;tournament;Nordbayerische Meisterschaft;1;Vorlauf;Sch?fer Bernd;38688;BC Bamberger  Bowlinghaus 3;2;195;0;570;6;552
2026;2026-05-01;Dream Bowl Palace Unterfoehring;tournament;Nordbayerische Meisterschaft;1;Vorlauf;Stegner Ottmar;16535;BC Bamberger  Bowlinghaus 3;2;201;0;588;4;552
2026;2026-05-01;Dream Bowl Palace Unterfoehring;tournament;Nordbayerische Meisterschaft;1;Vorlauf;Karl Georg;16545;BC Bamberger  Bowlinghaus 3;2;181;0;528;10;552
