Season;Date;Location;Event Type;Event Name;Round Number;Round Name;Player;Player ID;Club;Game Number;Score;Handicap;Cumulative Score;Stage Rank;Cut Line
2026;2026-05-01;Dream Bowl Palace Unterfoehring;tournament;Nordbayerische Meisterschaft;1;Vorlauf;Aaron Schlemmer;38977;Phönix Lauf 2;0;160;0;160;10;178
2026;2026-05-01;Dream Bowl Palace Unterfoehring;tournament;Nordbayerische Meisterschaft;1;Vorlauf;Achhammer Klara;38760;HighRoller Rosenheim 2;0;186;0;186;7;178
2026;2026-05-01;Dream Bowl Palace Unterfoehring;tournament;Nordbayerische Meisterschaft;1;Vorlauf;Hartmann Benedikt;38112;Bavaria Unterföhring 1;0;188;0;188;6;178
2026;2026-05-01;Dream Bowl Palace Unterfoehring;tournament;Nordbayerische Meisterschaft;1;Vorlauf;Klaus Weiske;7182;Mainauenbowler Bayreuth Land 2;0;203;0;203;4;178
2026;2026-05-01;Dream Bowl Palace Unterfoehring;tournament;Nordbayerische Meisterschaft;1;Vorlauf;Marco Hürdler;25271;Donaubowler Regensburg 1;0;168;0;168;9;178
2026;2026-05-01;Dream Bowl Palace Unterfoehring;tournament;Nordbayerische Meisterschaft;1;Vorlauf;Marina Weiske;7154;Mainauenbowler Bayreuth Land 2;0;205;0;205;3;178
2026;2026-05-01;Dream Bowl Palace Unterfoehring;tournament;Nordbayerische Meisterschaft;1;Vorlauf;Max Fischbach;16245;BC Comet Nürnberg;0;198;0;198;5;178
2026;2026-05-01;Dream Bowl Palace Unterfoehring;tournament;Nordbayerische Meisterschaft;1;Vorlauf;Sebastian Lohse;27134;BC EMAX Unterföhring 2;0;178;0;178;8;178
2026;2026-05-01;Dream Bowl Palace Unterfoehring;tournament;Nordbayerische Meisterschaft;1;Vorlauf;Volker Lüthje;7601;Bajuwaren München 1;0;224;0;224;1;178
2026;2026-05-01;Dream Bowl Palace Unterfoehring;tournament;Nordbayerische Meisterschaft;1;Vorlauf;Wimmer Peter;7425;BSC HighRoller Rosenheim 1;0;224;0;224;2;178
2026;2026-05-01;Dream Bowl Palace Unterfoehring;tournament;Nordbayerische Meisterschaft;1;Vorlauf;Aaron Schlemmer;38977;Phönix Lauf 2;1;163;0;323;10;365
2026;2026-05-01;Dream Bowl Palace Unterfoehring;tournament;Nordbayerische Meisterschaft;1;Vorlauf;Achhammer Klara;38760;HighRoller Rosenheim 2;1;185;0;371;6;365
2026;2026-05-01;Dream Bowl Palace Unterfoehring;tournament;Nordbayerische Meisterschaft;1;Vorlauf;Hartmann Benedikt;38112;Bavaria Unterföhring 1;1;181;0;369;7;365
2026;2026-05-01;Dream Bowl Palace Unterfoehring;tournament;Nordbayerische Meisterschaft;1;Vorlauf;Klaus Weiske;7182;Mainauenbowler Bayreuth Land 2;1;192;0;395;4;365
