1;10;11;12;13;14;15;16;17;18;19;20;21;22;23;3;4;5;6;7;8;9;batch_id;created_by;currency;date_created;date_updated;form_id;gpnf_entry_nested_form_field;gpnf_entry_parent;gpnf_entry_parent_form;gv_revision_changed;gv_revision_date;gv_revision_date_gmt;gv_revision_parent_id;gv_revision_user_id;id;ingested_at_utc;ip;is_approved;is_fulfilled;is_read;is_starred;payment_amount;payment_date;payment_method;payment_status;post_id;source_date_updated;source_entry_id;source_form_id;source_id;source_url;status;submission_speeds;transaction_id;transaction_type;user_agent
7879;172;217;18;258;220;247;205;4086;298;236;246;182;216;237;Alexander Koller;190;234;238;243;224;223;manual_export_table_124;1;EUR;2026-04-25 18:51:05;2026-04-25 18:51:05;124;False;False;False;False;False;False;False;False;37341;2026-04-26T11:18:23+00:00;85.13.146.121;False;;0;0;;;;;;2026-04-25 18:51:05;37341;124;;;active;;;;GravityView Import
7592;194;186;18;236;236;185;218;3871;216;255;233;209;189;222;Tobias Börding;206;234;214;215;198;225;manual_export_table_124;1;EUR;2026-04-25 18:51:05;2026-04-25 18:51:05;124;False;False;False;False;False;False;False;False;37342;2026-04-26T11:18:23+00:00;85.13.146.121;False;;0;0;;;;;;2026-04-25 18:51:05;37342;124;;;active;;;;GravityView Import
7595;259;205;18;224;197;222;208;3839;242;185;196;257;200;192;Michael Eisenmann-Seybold;237;161;235;217;157;245;manual_export_table_124;1;EUR;2026-04-25 18:51:05;2026-04-25 18:51:05;124;False;False;False;False;False;False;False;False;37343;2026-04-26T11:18:23+00:00;85.13.146.121;False;;0;0;;;;;;2026-04-25 18:51:05;37343;124;;;active;;;;GravityView Import
7593;247;163;18;180;258;191;243;3835;203;218;194;234;237;224;Peter Börding;233;179;196;207;243;185;manual_export_table_124;1;EUR;2026-04-25 18:51:05;2026-04-25 18:51:05;124;False;False;False;False;False;False;False;False;37344;2026-04-26T11:18:23+00:00;85.13.146.121;False;;0;0;;;;;;2026-04-25 18:51:05;37344;124;;;active;;;;GravityView Import
25830;226;234;18;227;221;197;233;3762;209;171;207;172;252;190;Moritz Wiemken;243;182;169;224;192;213;manual_export_table_124;1;EUR;2026-04-25 18:51:05;2026-04-25 18:51:05;124;False;False;False;False;False;False;False;False;37345;2026-04-26T11:18:23+00:00;85.13.146.121;False;;0;0;;;;;;2026-04-25 18:51:05;37345;124;;;active;;;;GravityView Import
7314;198;185;18;198;207;208;177;3706;267;169;203;227;185;233;Daniel Hellmich;191;208;247;231;180;192;manual_export_table_124;1;EUR;2026-04-25 18:51:05;2026-04-25 18:51:05;124;False;False;False;False;False;False;False;False;37346;2026-04-26T11:18:23+00:00;85.13.146.121;False;;0;0;;;;;;2026-04-25 18:51:05;37346;124;;;active;;;;GravityView Import
16888;167;225;18;257;204;204;181;3689;180;247;195;156;225;238;Thomas Auer;162;206;191;201;216;234;manual_export_table_124;1;EUR;2026-04-25 18:51:05;2026-04-25 18:51:05;124;False;False;False;False;False;False;False;False;37347;2026-04-26T11:18:23+00:00;85.13.146.121;False;;0;0;;;;;;2026-04-25 18:51:05;37347;124;;;active;;;;GravityView Import
16965;187;215;18;214;196;277;210;3666;154;188;226;216;203;197;Andre Michow;195;155;215;226;184;208;manual_export_table_124;1;EUR;2026-04-25 18:51:05;2026-04-25 18:51:05;124;False;False;False;False;False;False;False;False;37348;2026-04-26T11:18:23+00:00;85.13.146.121;False;;0;0;;;;;;2026-04-25 18:51:05;37348;124;;;active;;;;GravityView Import
38550;137;213;18;182;280;196;249;3656;172;297;223;172;189;209;Oliver Schütze;193;177;129;225;210;203;manual_export_table_124;1;EUR;2026-04-25 18:51:05;2026-04-25 18:51:05;124;False;False;False;False;False;False;False;False;37349;2026-04-26T11:18:23+00:00;85.13.146.121;False;;0;0;;;;;;2026-04-25 18:51:05;37349;124;;;active;;;;GravityView Import
25203;189;211;18;227;248;192;150;3640;182;172;201;256;197;193;Bernd Wiemken;172;241;205;216;168;220;manual_export_table_124;1;EUR;2026-04-25 18:51:05;2026-04-25 18:51:05;124;False;False;False;False;False;False;False;False;37350;2026-04-26T11:18:23+00:00;85.13.146.121;False;;0;0;;;;;;2026-04-25 18:51:05;37350;124;;;active;;;;GravityView Import
38092;216;157;18;199;298;183;225;3638;191;192;197;223;171;230;Nicolas Kabel;137;186;188;214;222;209;manual_export_table_124;1;EUR;2026-04-25 18:51:05;2026-04-25 18:51:05;124;False;False;False;False;False;False;False;False;37351;2026-04-26T11:18:23+00:00;85.13.146.121;False;;0;0;;;;;;2026-04-25 18:51:05;37351;124;;;active;;;;GravityView Import
7885;194;234;18;215;242;199;180;3634;188;170;266;200;208;186;Sebastian Hinterwimmer;165;206;201;222;153;205;manual_export_table_124;1;EUR;2026-04-25 18:51:05;2026-04-25 18:51:05;124;False;False;False;False;False;False;False;False;37352;2026-04-26T11:18:23+00:00;85.13.146.121;False;;0;0;;;;;;2026-04-25 18:51:05;37352;124;;;active;;;;GravityView Import
7080;192;216;18;181;214;190;194;3634;176;187;182;169;257;201;Klaus Lilge;257;187;148;211;236;236;manual_export_table_124;1;EUR;2026-04-25 18:51:05;2026-04-25 18:51:05;124;False;False;False;False;False;False;False;False;37353;2026-04-26T11:18:23+00:00;85.13.146.121;False;;0;0;;;;;;2026-04-25 18:51:05;37353;124;;;active;;;;GravityView Import
7591;203;214;18;181;235;145;232;3627;181;191;214;233;218;219;Daniel Börding;204;215;223;188;181;150;manual_export_table_124;1;EUR;2026-04-25 18:51:05;2026-04-25 18:51:05;124;False;False;False;False;False;False;False;False;37354;2026-04-26T11:18:23+00:00;85.13.146.121;False;;0;0;;;;;;2026-04-25 18:51:05;37354;124;;;active;;;;GravityView Import
16398;237;194;18;180;178;224;236;3626;193;215;215;182;224;206;Günter Denz;178;180;165;225;216;178;manual_export_table_124;1;EUR;2026-04-25 18:51:05;2026-04-25 18:51:05;124;False;False;False;False;False;False;False;False;37355;2026-04-26T11:18:23+00:00;85.13.146.121;False;;0;0;;;;;;2026-04-25 18:51:05;37355;124;;;active;;;;GravityView Import
38730;215;172;18;210;265;232;176;3595;180;205;209;191;222;168;Tindaro Famà;225;201;171;201;204;148;manual_export_table_124;1;EUR;2026-04-25 18:51:05;2026-04-25 18:51:05;124;False;False;False;False;False;False;False;False;37356;2026-04-26T11:18:23+00:00;85.13.146.121;False;;0;0;;;;;;2026-04-25 18:51:05;37356;124;;;active;;;;GravityView Import
38995;202;251;18;183;201;258;152;3584;170;195;205;165;204;204;Clément Perrin;187;180;256;204;169;198;manual_export_table_124;1;EUR;2026-04-25 18:51:05;2026-04-25 18:51:05;124;False;False;False;False;False;False;False;False;37357;2026-04-26T11:18:23+00:00;85.13.146.121;False;;0;0;;;;;;2026-04-25 18:51:05;37357;124;;;active;;;;GravityView Import
28367;235;214;18;174;194;200;224;3539;267;227;166;211;161;222;Marcel Müller;164;205;217;157;134;167;manual_export_table_124;1;EUR;2026-04-25 18:51:05;2026-04-25 18:51:05;124;False;False;False;False;False;False;False;False;37358;2026-04-26T11:18:23+00:00;85.13.146.121;False;;0;0;;;;;;2026-04-25 18:51:05;37358;124;;;active;;;;GravityView Import
16024;187;188;18;213;200;177;202;3519;176;193;158;182;223;246;Timo Baumann;210;192;174;181;199;218;manual_export_table_124;1;EUR;2026-04-25 18:51:05;2026-04-25 18:51:05;124;False;False;False;False;False;False;False;False;37359;2026-04-26T11:18:23+00:00;85.13.146.121;False;;1;0;;;;;;2026-04-25 18:51:05;37359;124;;;active;;;;GravityView Import
25849;141;169;18;186;188;257;192;3506;221;209;179;210;175;192;Alexander Wiedemann;195;188;210;191;191;212;manual_export_table_124;1;EUR;2026-04-25 18:51:05;2026-04-25 18:51:05;124;False;False;False;False;False;False;False;False;37360;2026-04-26T11:18:23+00:00;85.13.146.121;False;;0;0;;;;;;2026-04-25 18:51:05;37360;124;;;active;;;;GravityView Import
16583;209;176;18;209;181;212;199;3498;194;159;175;201;258;203;Matthias Kuchling;155;161;182;148;253;223;manual_export_table_124;1;EUR;2026-04-25 18:51:05;2026-04-25 18:51:05;124;False;False;False;False;False;False;False;False;37361;2026-04-26T11:18:23+00:00;85.13.146.121;False;;0;0;;;;;;2026-04-25 18:51:05;37361;124;;;active;;;;GravityView Import
7412;172;226;18;204;224;178;214;3471;195;159;179;220;164;218;Michael Görn;128;201;183;215;209;182;manual_export_table_124;1;EUR;2026-04-25 18:51:05;2026-04-25 18:51:05;124;False;False;False;False;False;False;False;False;37362;2026-04-26T11:18:23+00:00;85.13.146.121;False;;0;0;;;;;;2026-04-25 18:51:05;37362;124;;;active;;;;GravityView Import
25953;184;175;18;174;185;173;206;3453;189;204;188;170;236;181;René Erben;211;213;145;237;179;203;manual_export_table_124;1;EUR;2026-04-25 18:51:05;2026-04-25 18:51:05;124;False;False;False;False;False;False;False;False;37363;2026-04-26T11:18:23+00:00;85.13.146.121;False;;0;0;;;;;;2026-04-25 18:51:05;37363;124;;;active;;;;GravityView Import
25557;173;197;18;212;185;200;247;3448;168;156;182;256;145;247;Max Wiemken;158;175;191;223;191;142;manual_export_table_124;1;EUR;2026-04-25 18:51:05;2026-04-25 18:51:05;124;False;False;False;False;False;False;False;False;37364;2026-04-26T11:18:23+00:00;85.13.146.121;False;;0;0;;;;;;2026-04-25 18:51:05;37364;124;;;active;;;;GravityView Import
