original_column;renamed_column;resolved_label
1;1__EDV-Nummer;EDV-Nummer
3;3__Name;Name
4;4__Spiel 1;Spiel 1
11;11__Spiel 2;Spiel 2
10;10__Spiel 3;Spiel 3
9;9__Spiel 4;Spiel 4
8;8__Spiel 5;Spiel 5
7;7__Spiel 6;Spiel 6
6;6__Spiel 7;Spiel 7
5;5__Spiel 8;Spiel 8
16;16__Spiel 9;Spiel 9
15;15__Spiel 10;Spiel 10
14;14__Spiel 11;Spiel 11
13;13__Spiel 12;Spiel 12
23;23__Spiel 13;Spiel 13
22;22__Spiel 14;Spiel 14
21;21__Spiel 15;Spiel 15
20;20__Spiel 16;Spiel 16
19;19__Spiel 17;Spiel 17
18;18__Spiel 18;Spiel 18
12;12__Spiele;Spiele
17;17__Gesamt;Gesamt
