Season;Date;Location;Event Type;Event Name;Round Number;Round Name;Player;Player ID;Club;Game Number;Score;Handicap;Cumulative Score;Stage Rank;Cut Line;Cut Basis;Overall Cumulative Score
25/26;2026-04-25;Dream Bowl Palace Unterföhring;tournament;Südbayerische Meisterschaft;1;Vorlauf;Alberto Salazar;38113;;0;171;0;171;74;169;overall_total;171
25/26;2026-04-25;Dream Bowl Palace Unterföhring;tournament;Südbayerische Meisterschaft;1;Vorlauf;Alexander Egger;38541;;0;191;0;191;48;169;overall_total;191
25/26;2026-04-25;Dream Bowl Palace Unterföhring;tournament;Südbayerische Meisterschaft;1;Vorlauf;Alexander Koller;7879;;0;190;0;190;52;169;overall_total;190
25/26;2026-04-25;Dream Bowl Palace Unterföhring;tournament;Südbayerische Meisterschaft;1;Vorlauf;Alexander Wiedemann;25849;;0;195;0;195;42;169;overall_total;195
25/26;2026-04-25;Dream Bowl Palace Unterföhring;tournament;Südbayerische Meisterschaft;1;Vorlauf;Alfred Zimmermann;7573;;0;163;0;163;93;169;overall_total;163
25/26;2026-04-25;Dream Bowl Palace Unterföhring;tournament;Südbayerische Meisterschaft;1;Vorlauf;Andre Michow;16965;;0;195;0;195;41;169;overall_total;195
25/26;2026-04-25;Dream Bowl Palace Unterföhring;tournament;Südbayerische Meisterschaft;1;Vorlauf;Andreas Feuerlein;16270;;0;227;0;227;8;169;overall_total;227
25/26;2026-04-25;Dream Bowl Palace Unterföhring;tournament;Südbayerische Meisterschaft;1;Vorlauf;Andreas Heß;7030;;0;181;0;181;57;169;overall_total;181
25/26;2026-04-25;Dream Bowl Palace Unterföhring;tournament;Südbayerische Meisterschaft;1;Vorlauf;Andreas Hölzl;38305;;0;169;0;169;79;169;overall_total;169
25/26;2026-04-25;Dream Bowl Palace Unterföhring;tournament;Südbayerische Meisterschaft;1;Vorlauf;Andreas Schöllhorn;38568;;0;215;0;215;21;169;overall_total;215
25/26;2026-04-25;Dream Bowl Palace Unterföhring;tournament;Südbayerische Meisterschaft;1;Vorlauf;André Knoch;25629;;0;202;0;202;31;169;overall_total;202
25/26;2026-04-25;Dream Bowl Palace Unterföhring;tournament;Südbayerische Meisterschaft;1;Vorlauf;Anton Mutz;25005;;0;183;0;183;56;169;overall_total;183
25/26;2026-04-25;Dream Bowl Palace Unterföhring;tournament;Südbayerische Meisterschaft;1;Vorlauf;Bernd Wiemken;25203;;0;172;0;172;71;169;overall_total;172
25/26;2026-04-25;Dream Bowl Palace Unterföhring;tournament;Südbayerische Meisterschaft;1;Vorlauf;Brandon Alexander Lucas;38648;;0;201;0;201;33;169;overall_total;201
25/26;2026-04-25;Dream Bowl Palace Unterföhring;tournament;Südbayerische Meisterschaft;1;Vorlauf;Bruno Gärtner;25649;;0;162;0;162;96;169;overall_total;162
25/26;2026-04-25;Dream Bowl Palace Unterföhring;tournament;Südbayerische Meisterschaft;1;Vorlauf;Carlo Luft;38652;;0;233;0;233;6;169;overall_total;233
25/26;2026-04-25;Dream Bowl Palace Unterföhring;tournament;Südbayerische Meisterschaft;1;Vorlauf;Christian Müller;38996;;0;163;0;163;92;169;overall_total;163
25/26;2026-04-25;Dream Bowl Palace Unterföhring;tournament;Südbayerische Meisterschaft;1;Vorlauf;Christian Schrempf;7646;;0;178;0;178;62;169;overall_total;178
25/26;2026-04-25;Dream Bowl Palace Unterföhring;tournament;Südbayerische Meisterschaft;1;Vorlauf;Christoph Heiming;38918;;0;161;0;161;102;169;overall_total;161
25/26;2026-04-25;Dream Bowl Palace Unterföhring;tournament;Südbayerische Meisterschaft;1;Vorlauf;Clément Perrin;38995;;0;187;0;187;55;169;overall_total;187
25/26;2026-04-25;Dream Bowl Palace Unterföhring;tournament;Südbayerische Meisterschaft;1;Vorlauf;Daniel Börding;7591;;0;204;0;204;30;169;overall_total;204
25/26;2026-04-25;Dream Bowl Palace Unterföhring;tournament;Südbayerische Meisterschaft;1;Vorlauf;Daniel Hellmich;7314;;0;191;0;191;49;169;overall_total;191
25/26;2026-04-25;Dream Bowl Palace Unterföhring;tournament;Südbayerische Meisterschaft;1;Vorlauf;Daniel Horbas;7341;;0;156;0;156;107;169;overall_total;156
25/26;2026-04-25;Dream Bowl Palace Unterföhring;tournament;Südbayerische Meisterschaft;1;Vorlauf;Daniel Krückel;38933;;0;146;0;146;113;169;overall_total;146
25/26;2026-04-25;Dream Bowl Palace Unterföhring;tournament;Südbayerische Meisterschaft;1;Vorlauf;Dennis Jehle;38954;;0;162;0;162;98;169;overall_total;162
25/26;2026-04-25;Dream Bowl Palace Unterföhring;tournament;Südbayerische Meisterschaft;1;Vorlauf;Dirk Billerbeck;10797;;0;114;0;114;118;169;overall_total;114
25/26;2026-04-25;Dream Bowl Palace Unterföhring;tournament;Südbayerische Meisterschaft;1;Vorlauf;Dirk Kirschke;16876;;0;164;0;164;90;169;overall_total;164
25/26;2026-04-25;Dream Bowl Palace Unterföhring;tournament;Südbayerische Meisterschaft;1;Vorlauf;Eberhard Rietz;25631;;0;244;0;244;3;169;overall_total;244
25/26;2026-04-25;Dream Bowl Palace Unterföhring;tournament;Südbayerische Meisterschaft;1;Vorlauf;Eduard Bolender;25408;;0;178;0;178;61;169;overall_total;178
25/26;2026-04-25;Dream Bowl Palace Unterföhring;tournament;Südbayerische Meisterschaft;1;Vorlauf;Enrico Blättermann;38216;;0;168;0;168;82;169;overall_total;168
25/26;2026-04-25;Dream Bowl Palace Unterföhring;tournament;Südbayerische Meisterschaft;1;Vorlauf;Erwin Meys;38813;;0;167;0;167;85;169;overall_total;167
25/26;2026-04-25;Dream Bowl Palace Unterföhring;tournament;Südbayerische Meisterschaft;1;Vorlauf;Erwin Schmidle;38480;;0;174;0;174;66;169;overall_total;174
25/26;2026-04-25;Dream Bowl Palace Unterföhring;tournament;Südbayerische Meisterschaft;1;Vorlauf;Ewald Kral;7309;;0;181;0;181;58;169;overall_total;181
25/26;2026-04-25;Dream Bowl Palace Unterföhring;tournament;Südbayerische Meisterschaft;1;Vorlauf;Florian Hanauer;38001;;0;190;0;190;51;169;overall_total;190
25/26;2026-04-25;Dream Bowl Palace Unterföhring;tournament;Südbayerische Meisterschaft;1;Vorlauf;Florian Stangl;25690;;0;215;0;215;19;169;overall_total;215
25/26;2026-04-25;Dream Bowl Palace Unterföhring;tournament;Südbayerische Meisterschaft;1;Vorlauf;Gregor Arapow;38575;;0;173;0;173;70;169;overall_total;173
25/26;2026-04-25;Dream Bowl Palace Unterföhring;tournament;Südbayerische Meisterschaft;1;Vorlauf;Günter Denz;16398;;0;178;0;178;60;169;overall_total;178
25/26;2026-04-25;Dream Bowl Palace Unterföhring;tournament;Südbayerische Meisterschaft;1;Vorlauf;Günter Färber;38850;;0;161;0;161;101;169;overall_total;161
25/26;2026-04-25;Dream Bowl Palace Unterföhring;tournament;Südbayerische Meisterschaft;1;Vorlauf;Harald Eggl;25229;;0;198;0;198;38;169;overall_total;198
25/26;2026-04-25;Dream Bowl Palace Unterföhring;tournament;Südbayerische Meisterschaft;1;Vorlauf;Harald Laub;7597;;0;172;0;172;72;169;overall_total;172
25/26;2026-04-25;Dream Bowl Palace Unterföhring;tournament;Südbayerische Meisterschaft;1;Vorlauf;Herbert Forstner;38712;;0;195;0;195;43;169;overall_total;195
25/26;2026-04-25;Dream Bowl Palace Unterföhring;tournament;Südbayerische Meisterschaft;1;Vorlauf;Herward Schulz;38202;;0;142;0;142;115;169;overall_total;142
25/26;2026-04-25;Dream Bowl Palace Unterföhring;tournament;Südbayerische Meisterschaft;1;Vorlauf;Horst Thomas;16327;;0;162;0;162;94;169;overall_total;162
25/26;2026-04-25;Dream Bowl Palace Unterföhring;tournament;Südbayerische Meisterschaft;1;Vorlauf;Jan Musiol;25166;;0;227;0;227;9;169;overall_total;227
25/26;2026-04-25;Dream Bowl Palace Unterföhring;tournament;Südbayerische Meisterschaft;1;Vorlauf;Joachim Geist;16807;;0;154;0;154;111;169;overall_total;154
25/26;2026-04-25;Dream Bowl Palace Unterföhring;tournament;Südbayerische Meisterschaft;1;Vorlauf;Jochen Mücke;38842;;0;220;0;220;17;169;overall_total;220
25/26;2026-04-25;Dream Bowl Palace Unterföhring;tournament;Südbayerische Meisterschaft;1;Vorlauf;Jürgen Beer;25502;;0;200;0;200;36;169;overall_total;200
25/26;2026-04-25;Dream Bowl Palace Unterföhring;tournament;Südbayerische Meisterschaft;1;Vorlauf;Jürgen Hockenjos;25993;;0;158;0;158;104;169;overall_total;158
