canonical_name,aliases
0,BSC Franken 90
1. BC Veitshöchheim,BC Veitshöchheim e.V.
7 Schwaben Neu-Ulm,BC 7 Schwaben Neu-Ulm|N-U - BC 7 Schwaben Neu-Ulm
ACC/Ulmer-Spatzen,BC ACC Neu-Ulm|BC ACC/Ulmer Spatzen Neu-Ulm
Absolut Sports,Absolut-Sports.com|TÖL - Absolut-Sports.com
Active Bowler Brunnthal,1. BSC Active Bowler Brunnthal|MKV - 1. BSC Active Bowler Brunnthal
Adler Nürnberg,BC Adler Nürnberg|BC Adler Phönix 03 Nürnberg|BCN - BC Adler Nürnberg
Albrecht Dürer 71 Stein,BC Albrecht Dürer 71 Stein|STE - BC Albrecht Dürer 71 Stein
BC Bamberger Bowlinghaus,Bamberger Bowlinghaus e.V.
BC Coburg,Bowling Club Coburg|COB - Bowling Club Coburg
BC Comet Nürnberg,BCN - Comet|Comet
BC EMAX Unterföhring,BVU - BC EMAX
BC Großlangheim,1. BC 80/BC Langa 84 Großlangheim|1. BC 80/BC Langa 84 Großlh.|BSV Großlangheim
BC Phönix-Hobby,BC Phönix - Hobby
Bad-Tölz,BC Bad Tölz|BC Bad Tölz 78 e.V.|TÖL - BC Bad Tölz
Bajuwaren München,BC Bajuwaren|BC Bajuwaren 1976 München|MKV - BC Bajuwaren 1976 München
Bavaria 66,BC Bavaria 66
Bavaria Bayreuth,BC Bavaria Bayreuth
Bavaria München – Land,BC Bav.-MüL.|BC Bavaria München/Land
Bayerland München,BC Bayerland München
Berchtesgaden,BC Berchtesgaden|BGD - BC Berchtesgaden|BSV Berchtesgaden|Berchtesdaden
Blue Strikers/Pin Ladies Coburg,Blue Strikers|Blue Strikers / Pin Ladies Coburg
Castra Regina Regensburg,BC Castra Regina Regensburg|Castra Regina|REG - BC Castra Regina Regensburg
Cat-Bowl,BC Cat-Bowl|MKV - BC Cat-Bowl
City-Bowling Augsburg,AUL - City Bowling
Civis München,BC Civis München
Condor München,BC Condor München
DBC Bayreuth,1. DBC Bayreuth|BAL - 1. DBC Bayreuth
DJK Rimpar,RIM
Delphin München,BC Delphin München|Delphin
Donaubowler Regensburg,BC Donau - Bowler|REG - BC Donau - Bowler
EPA München,BC E.P.A. München|MKV - BC E.P.A. München
Eintracht Lauf,BC Eintracht|BC Eintracht Lauf|LAU - BC Eintracht Lauf
Erding,BC Erding|MKV - BC Erding
Falken München,BC Falken
Falken Neu-Ulm,BC Neu-Ulmer Falken|N-U - BC Neu-Ulmer Falken
Fortuna Burgau,BC Fortuna-Burgau
Franken 83 Nürnberg,BC Franken '83 Nürnberg
Franken Kitzingen,BC Franken Kitzingen|KIZ - BC Franken Kitzingen
Frankenland Lauf,BC Frankenland Lauf
Frankenpower Nürnberg,BC Frankenpower
Friedrichshafen,BC Friedrichshafen|LIN - BC Friedrichshafen
Germania Bayreuth,BAY - BC Germania Bayreuth|BC Germania|BC Germania Bayreuth
Herzogenaurach,ERL - BC Herzogenaurach
