canonical_name,aliases
ABC Augsburg,ABC Bowling Augsburg
Augsburg Blu Bowl,Augsburg Blu-Bowl|Blu Bowl Augsburg|Blu-Bowl Augsburg|BluBowl Augsburg
Augsburg City Bowling,Augsburg City-Bowling|City Augsburg|City Bowling|City Bowling Augsburg|City-Augsburg|City-Bowling|City-Bowling Augsburg
Bad-Aibling,
Bad-Tölz,Flint-Bowling Bad-Tölz
Bamberg Bowlinghaus,Bamberg Mainfranken|Bamberg-Bowlinghaus|Bamberg-Mainfranken|Bamberg-Mainfranken Bowling|Bamberger Bowlinghaus|Bowlinghaus Bamberg|Mainfranken Bamberg|Mainfranken Bowling Bamberg
Bayreuth Blu Bowl,Bayreuth BluBowl|Bayreuth Bowling Center|Bayreuth Bowling-Center|Blu Bowl Bayreuth|BluBowl Bayreuth
Bindlach OK Bowling,Bindlach OK-Bowling|Bindlach-OK Bowling|OK Bowling Bindlach
Bowling in Tauber,Tauberbischofsheim|Tauberbischofsheim BiT|Tauberbischofsheim-BiT
Bowlingworld Nürnberg,Nürnberg Bowling World
Brunnthal Max Munich,Brunnthal|MAX München Brunnthal|Max Munich Brunnthal|Max München Brunnthal|Max-Bowling|Max-Brunnthal|Max Brunnthal
Coburg Sportland,Coburg - Sportland|Dörfles Esbach Sportland|Dörfles Esbach-Sportland|Sportland Coburg
Dachau,
Dettelbach Extreme Bowlingarena,Dettelbach Extreme Bowling|Dettelbach Extreme-Bowling|Dettelbach-Extreme Bowling|Exteme Bowling Dettelbach|Extrem Bowling Dettelbach|Extreme Bowling Dettelbach|Extreme Dettelbach
Erlangen Sportland,Erlangen-Sportland|Sportland Erlangen
Friedrichshafen Seaside,Friedrichshafen
Fürth Funk Bowling Arena,Funk Bowling Arena Fürth|Fürth Funk Freestyle Bowling
Fürth Lifestyle-Bowling,Fürth-Lifestyle Bowling
Fürth PX-Bowling,Fürth-PX Bowling
Garmisch Zugspitzbowling,Garmisch|Zugspitz-Bowling Garmisch
Herbrechtingen,Bowling World Herbrechtingen
Ingolstadt Cosmos Bowling Arena,Ingolstadt
Kempten Big Bowl,Big-Bowl Kempten|Kempten
Kitzingen Goldberg,Kitzingen Goldberg Bowling|Kitzingen-Goldberg Bowling
Landshut LA-Bowling,LA-Bowling Landshut|Landshut
Lauterach Strike-Center,Lauterach
Lichtenfels Pegasus Bowling,Lichtenfels-Pegasus Bowling
Maschy's Bowling Würzburg,
München Hollywood Super Bowling,Hollwood München|Hollywood Bowling München|Hollywood München|Hollywood-Bowling München|Hollywood-München
München Isar Bowling,Isar Bowling|Isar Bowling München|Isar München|Isar-Bowling München|Isar-München|München Isar-Bowling
Neu-Ulm,
Nürnberg BluBowl,Blu Bowl Nürnberg|BluBowl Nürnberg|Nürnberg Blu Bowl|Nürnberg Blubowl
Nürnberg Brunswick,Brunswick Nürnberg|Nürnberg Brunswick Bowling|Nürnberg Brunswick-Bowling|Nürnberg-Brunswick Bowling
Nürnberg Cosmos,Cosmos Arena Nürnberg|Nürnberg Cosmos Arena|Nürnberg Cosmos Bowling|Nürnberg-Cosmos Bowling
Nürnberg West Bowling,West Bowl Nürnberg|West Bowling Nürnberg|Westbowl Nürnberg|Westbowling Nürnberg|Nürnberg Westbowl|Nürnberg Westbowling|neu: West Bowl Nürnberg
Olching 5005 Bowling,Olching
Olympia München,Olympia-Bowling München
Pfaffenhofen Hollywood Super Bowling,Pfaffenhofen
Pfarrkirchen,
Regensburg Super Bowl,Regensburg SuperBowl|Regensburg Superbowl|Regensburg-Super Bowl|Regensburg-Superbowl|Super Bowl Regensburg|SuperBowl Regensburg|Superbowl Regensburg
Rottendorf Bowling-Center,Rottendorf|neu: Rottendorf
Schweinfurt Extreme Bowlingarena,Exteme Bowling Schweinfurt|Extrem Bowling Schweinfurt|Extreme Bowling Schweinfurt|Schweinfurt|Schweinfurt Extreme Bowling
Schweinfurt World of Bowling,
Sky Salzburg,
Sport-Arena Salzburg,
Sport-Oase Salzburg,SOS Salzburg|Salzburg|Sport-Oase-Salzburg
Star Salzburg,
Unterföhring Dreambowl Palace,Dream Bowl|Dream Bowl Unterföhring|Dream Bowl Unterführing|Dream-Bowl|Dream-Bowl München|Dream-Bowl Palace Ufö.|Dream-Bowl-Palace|DreamBowl Palace Unt.fö.|DreamBowl Palace Unterführg|DreamBowl Palace Unterföhring|DreamBowl Palace Unterführing|Dreambowl Unterführing|Dreambowl Unterföhring|München Dream Bowl|München Dream-Bowl Palace|Unterführing Dreambowl Palace
Würzburg Cosmos Arena,Cosmos Arena Würzburg|Cosmos Bolwing Würzburg|Cosmos Bowling Würzburg|Würzburg Cosmos|Würzburg Cosmos Bowling|Würzburg Cosmos-Bowling|Würzburg-Cosmos Bowling
